GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.service,LocationService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,LocationService,6,294,0,14,2,64,0,19,0,12
tourguide,com.openclassrooms.tourguide.service,RewardsService,6,143,0,10,2,34,0,11,0,6
tourguide,com.openclassrooms.tourguide.service,TripPriceService,0,66,0,0,0,14,0,3,0,3
tourguide,com.openclassrooms.tourguide.model,UserPreferences,14,39,0,0,6,16,4,7,4,7
tourguide,com.openclassrooms.tourguide.model,User,25,98,0,2,11,27,7,14,7,13
tourguide,com.openclassrooms.tourguide.model,UserReward,13,15,0,0,6,6,2,2,2,2
tourguide,com.openclassrooms.tourguide.repository,InMemoryUserRepository,13,36,2,2,3,7,2,5,1,4
tourguide,com.openclassrooms.tourguide.repository,AttractionRepository,0,10,0,0,0,4,0,2,0,2
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide,BeanConfig,0,15,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide.task,Tracker,10,89,2,2,5,25,2,5,0,5
tourguide,com.openclassrooms.tourguide.controller,TourGuideController,0,71,0,0,0,20,0,6,0,6
